Aダイヤ 敦賀駅 上り時刻表,,,,
6,かがやき,つるぎ62,,
,11,47,,
,東京,富山,,
,14,12,,
7,かがやき,つるぎ64,,
,26,40,,
,東京,金沢,,
,12,11,,
8,つるぎ,かがやき,つるぎ,
,6,15,31,
,富山,東京,富山,
,13,12,11,
9,つるぎ,かがやき,つるぎ,はくたか
,11,21,46,58
,富山,東京,富山,東京
,12,13,11,13
10,つるぎ,つるぎ,はくたか,
,18,43,58,
,富山,金沢,東京,
,12,13,14,
11,つるぎ,つるぎ,はくたか,
,17,39,58,
,金沢,富山,東京,
,11,12,12,
12,つるぎ,つるぎ,はくたか,
,17,42,58,
,金沢,富山,東京,
,12,11,13,
13,つるぎ,はくたか,,
,41,48,,
,富山,東京,,
,11,14,,
14,つるぎ,つるぎ,,
,11,41,,
,金沢,富山,,
,12,11,,
15,かがやき,つるぎ,,
,4,41,,
,東京,富山,,
,14,11,,
16,かがやき,つるぎ,,
,4,39,,
,東京,富山,,
,14,12,,
17,つるぎ,かがやき,つるぎ,
,8,13,38,
,金沢,東京,富山,
,11,14,12,
18,つるぎ,かがやき,つるぎ,
,9,36,39,
,富山,東京,金沢,
,13,14,11,
19,つるぎ,つるぎ,,
,9,39,,
,富山,富山,,
,13,12,,
20,かがやき,つるぎ,つるぎ,
,11,22,43,
,東京,金沢,富山,
,13,11,12,
21,つるぎ,,,
,42,,,
,富山,,,
,12,,,
22,つるぎ,,,
,28,,,
,富山,,,
,12,,,
