Bダイヤ  大阪駅 上り時刻表,,,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,普通,,,,,,,,,,,,,,,
,12,22,32,46,57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,,,,,,,,,,,,,,,
6,普通,関空快速,普通,特急はるか,普通,普通,普通,普通,普通,特急はるか,普通,,,,,,,,,
,6,12,16,22,24,31,40,46,53,53,59,,,,,,,,,
,,関西空港/湯浅,,関西空港,,,,,桜島,関西空港,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
7,関空快速,普通,普通,,特急はるか,関空快速,普通,普通,大和路快速,特急くろしお,普通,普通,特急はるか,大和路快速,,,,,,
,5,10,15,,22,23,28,33,40,40,44,51,51,55,,,,,,
,関西空港/和歌山,,,,関西空港,関西空港,,桜島,奈良,新宮,,桜島,関西空港,奈良方面加茂,,,,,,
,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,
8,普通,関空快速,普通,大和路快速,普通,普通,特急はるか,関空快速,大和路快速,普通,普通,関空快速,大和路快速,普通,普通,特急はるか,関空快速,大和路快速,,
,0,3,7,12,16,20,20,24,27,30,34,38,41,46,50,50,54,57,,
,,関西空港/和歌山,桜島,奈良,桜島,,関西空港,関西空港/和歌山,奈良方面加茂,桜島,,関西空港/和歌山,奈良,桜島,,関西空港,関西空港/和歌山,奈良方面加茂,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
9,普通,特急くろしお,普通,関空快速,大和路快速,普通,普通,特急はるか,関空快速,大和路快速,普通,特急くろしお,普通,関空快速,大和路快速,普通,関空快速,普通,大和路快速,
,0,4,5,9,12,15,19,19,23,26,30,33,34,38,42,46,49,52,57,
,桜島,白浜,,関西空港/和歌山,奈良,桜島,,関西空港,関西空港/和歌山,奈良方面加茂,桜島,新宮,,関西空港/和歌山,奈良,桜島,関西空港/和歌山,,奈良方面加茂,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,普通,特急はるか,関空快速,普通,大和路快速,特急くろしお,普通,関空快速,大和路快速,特急はるか,普通,関空快速,大和路快速,普通,関空快速,大和路快速,,,,
,0,3,4,7,13,18,19,23,28,33,34,38,43,49,53,58,,,,
,桜島,関西空港,関西空港/和歌山,,奈良,白浜,,関西空港/和歌山,奈良方面加茂,関西空港,,関西空港/和歌山,奈良,,関西空港/和歌山,奈良,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
11,特急はるか,普通,関空快速,大和路快速,特急くろしお,普通,関空快速,大和路快速,特急はるか,普通,関空快速,大和路快速,普通,関空快速,大和路快速,,,,,
,3,4,8,13,18,19,23,28,33,34,38,43,49,53,58,,,,,
,関西空港,,関西空港/和歌山,奈良,白浜,,関西空港/和歌山,奈良方面加茂,関西空港,,関西空港/和歌山,奈良,,関西空港/和歌山,奈良,,,,,
