土休日ダイヤ 大阪駅 下り時刻表,,,,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,,,,,,,,,,,,,,
,00,24,41,53,,,,,,,,,,,,,,
,西明石,西明石,西明石,西明石,,,,,,,,,,,,,,
,5,6,6,6,,,,,,,,,,,,,,
6,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,,,,,,
,00,02,12,18,25,28,33,39,46,49,54,59,,,,,,
,網干,尼崎,西明石,尼崎,姫路,甲子園口,新三田,西明石,網干,尼崎,西明石,新三田,,,,,,
,5,6,6,6,5,6,6,6,5,6,6,6,,,,,,
7,快速,普通,普通,快速,普通,普通,快速,特急ｽｰﾊﾟｰはくと,普通,新快速,普通,特急はまかぜ,快速,普通,,,,
,06,08,14,21,23,29,35,38,38,45,45,48,51,53,,,,
,網干,西明石,新三田,姫路,西明石,新三田,網干,倉吉,西明石,姫路,新三田,鳥取,姫路,西明石,,,,
,5,6,6,5,6,6,5,3,6,5,6,3,5,6,,,,
8,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,,
,00,00,07,08,15,15,22,23,30,30,37,38,45,45,52,53,,
,播州赤穂,新三田,網干,西明石,姫路,新三田,姫路,西明石,姫路,新三田,姫路,西明石,姫路,新三田,加古川,西明石,,
,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,,
9,新快速,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと,新快速,普通,快速,普通,新快速,普通,快速,普通,
,00,00,07,08,15,15,22,23,25,30,30,37,38,45,45,52,53,
,姫路,新三田,網干,西明石,網干,新三田,加古川,西明石,倉吉,姫路,新三田,網干,須磨,姫路,新三田,加古川,須磨,
,5,6,5,6,5,6,5,6,3,5,6,5,6,5,6,5,6,
10,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと,
,00,00,07,08,15,15,22,23,30,30,37,38,45,45,52,53,56,
,姫路,新三田,網干,須磨,姫路,新三田,加古川,須磨,姫路,新三田,網干,須磨,姫路,新三田,加古川,須磨,倉吉,
,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,3,
11,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,,
,00,00,07,08,15,15,22,23,30,30,37,38,45,45,52,53,,
,姫路,宝塚,網干,須磨,姫路,宝塚,加古川,須磨,姫路,宝塚,網干,須磨,姫路,宝塚,加古川,須磨,,
,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,,
12,新快速,普通,快速,普通,新快速,普通,快速,特急はまかぜ,普通,新快速,普通,快速,普通,新快速,普通,快速,普通,特急ｽｰﾊﾟｰはくと
,00,00,07,08,15,15,22,23,23,30,30,37,38,45,45,52,53,56
,姫路,宝塚,網干,須磨,姫路,宝塚,加古川,香住,須磨,姫路,宝塚,網干,須磨,姫路,宝塚,加古川,須磨,倉吉
,5,6,5,6,5,6,5,3,6,5,6,5,6,5,6,5,6,3
