平日ダイヤ 姫路駅 下り時刻表,,,,,,,,,
5,普通,普通,,,,,,,
,29,54,,,,,,,
,岡山,播州赤穂,,,,,,,
,7,8,,,,,,,
6,普通,普通,,,,,,,
,27,32,,,,,,,
,播州赤穂,岡山,,,,,,,
,8,7,,,,,,,
7,普通,普通,普通,普通,,,,,
,5,17,31,53,,,,,
,三原,播州赤穂,新見,播州赤穂,,,,,
,7,8,7,8,,,,,
8,普通,快速,普通,快速,特急ｽｰﾊﾟｰはくと,普通,快速,,
,1,9,13,30,36,41,49,,
,岡山,網干,播州赤穂,網干,倉吉,播州赤穂,網干,,
,7,7,8,8,8,8,7,,
9,普通,快速,快速,普通,快速,,,,
,9,18,29,40,52,,,,
,播州赤穂,網干,網干,播州赤穂,網干,,,,
,8,8,8,7,8,,,,
10,普通,特急ｽｰﾊﾟｰはくと,快速,快速,,,,,
,9,22,32,50,,,,,
,播州赤穂,倉吉,網干,網干,,,,,
,8,8,7,8,,,,,
11,普通,快速,快速,特急ｽｰﾊﾟｰはくと,,,,,
,6,20,46,53,,,,,
,播州赤穂,網干,網干,倉吉,,,,,
,7,8,8,8,,,,,
12,普通,快速,快速,,,,,,
,5,13,49,,,,,,
,播州赤穂,網干,網干,,,,,,
,8,8,8,,,,,,
13,普通,快速,快速,特急ｽｰﾊﾟｰはくと,,,,,
,5,16,46,53,,,,,
,播州赤穂,網干,網干,倉吉,,,,,
,7,7,8,8,,,,,
14,普通,快速,普通,快速,,,,,
,4,14,34,51,,,,,
,播州赤穂,網干,播州赤穂,網干,,,,,
,8,7,7,8,,,,,
15,普通,快速,普通,快速,特急ｽｰﾊﾟｰはくと,,,,
,4,19,34,43,53,,,,
,播州赤穂,網干,播州赤穂,網干,鳥取,,,,
,7,7,7,7,8,,,,
16,普通,快速,快速,普通,快速,快速,,,
,4,13,29,35,49,59,,,
,播州赤穂,網干,網干,播州赤穂,網干,網干,,,
,7,8,7,8,8,8,,,
17,新快速,快速,快速,新快速,,,,,
,7,17,31,52,,,,,
,播州赤穂,網干,網干,播州赤穂,,,,,
,8,7,8,7,,,,,
18,快速,特急ｽｰﾊﾟｰはくと,普通,快速,新快速,快速,普通,新快速,
,0,7,12,18,24,32,40,52,
,網干,鳥取,三原,網干,播州赤穂,網干,上郡,播州赤穂,
,8,8,8,7,8,8,7,7,
19,普通,快速,新快速,快速,新快速,快速,普通,新快速,快速
,4,11,21,30,34,42,47,53,57
,岡山,網干,播州赤穂,網干,網干,網干,岡山,播州赤穂,網干
,7,8,8,8,8,7,8,7,8
20,快速,特急ｽｰﾊﾟｰはくと,新快速,快速,普通,新快速,新快速,,
,3,10,25,32,38,42,52,,
,網干,倉吉,播州赤穂,網干,岡山,網干,播州赤穂,,
,8,7,7,8,7,8,7,,
21,快速,特急,快速,新快速,快速,特急ｽｰﾊﾟｰはくと,普通,快速,
,5,10,20,23,33,39,44,53,
,網干,網干,網干,播州赤穂,網干,鳥取,岡山,網干,
,8,8,8,7,8,8,8,8,
22,新快速,快速,快速,快速,快速,,,,
,7,24,35,50,59,,,,
,上郡,網干,播州赤穂,上郡,網干,,,,
,8,7,7,7,7,,,,
23,新快速,快速,新快速,普通,新快速,,,,
,9,14,25,28,47,,,,
,網干,網干,網干,播州赤穂,網干,,,,
,8,8,8,7,8,,,,
0,快速,,,,,,,,
,9,,,,,,,,
,上郡,,,,,,,,
,7,,,,,,,,
