Aダイヤ 敦賀駅 下り時刻表,,,
5,普通,,
,32,,
,福井,,
,3,,
6,普通,普通,快速
,05,26,50
,金沢,芦原温泉,福井
,3,5,5
7,普通,普通,普通
,00,20,44
,金沢,福井,福井
,7,3,7
8,快速,普通,
,04,36,
,福井,金沢,
,7,7,
9,普通,普通,
,14,50,
,福井,福井,
,7,7,
10,普通,,
,20,,
,福井,,
,7,,
11,普通,普通,
,20,50,
,福井,福井,
,7,7,
12,普通,,
,20,,
,福井,,
,7,,
13,普通,普通,
,20,50,
,福井,福井,
,7,7,
14,普通,普通,
,20,50,
,福井,福井,
,7,7,
15,普通,普通,
,20,50,
,福井,福井,
,7,7,
16,普通,普通,
,21,41,
,福井,芦原温泉,
,7,7,
17,普通,区快,
,11,43,
,福井,福井,
,7,7,
18,普通,区快,
,15,40,
,福井,福井,
,7,7,
19,普通,普通,
,10,43,
,福井,福井,
,7,7,
20,普通,,
,43,,
,福井,,
,7,,
21,普通,,
,43,,
,福井,,
,7,,
22,普通,,
,54,,
,福井,,
,7,,
