平日ダイヤ 北新地駅 下り時刻表,,,,,,,,,,,,,,,
5,普通,普通,普通,,,,,,,,,,,,
,19,35,47,,,,,,,,,,,,
,宝塚方面新三田,宝塚,塚口,,,,,,,,,,,,
,1,1,1,,,,,,,,,,,,
6,普通,普通,普通,普通,普通,普通,普通,,,,,,,,
,1,13,25,31,39,49,56,,,,,,,,
,神戸方面西明石,宝塚方面新三田,神戸方面西明石,塚口,神戸方面西明石,宝塚方面新三田,神戸方面西明石,,,,,,,,
,1,1,1,1,1,1,1,,,,,,,,
7,普通,快速,普通,普通,普通,普通,快速,普通,普通,区快,普通,快速,普通,,
,2,10,13,16,24,27,31,34,39,45,51,54,59,,
,塚口,宝塚方面新三田,尼崎,宝塚方面新三田,神戸方面西明石,塚口,宝塚方面篠山口,尼崎,宝塚方面新三田,塚口,宝塚,宝塚方面新三田,宝塚方面新三田,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,,
8,普通,普通,快速,普通,区快,普通,区快,普通,快速,普通,普通,普通,普通,快速,普通
,3,6,10,14,17,21,25,29,32,36,41,45,49,55,58
,神戸方面西明石,尼崎,宝塚方面新三田,宝塚方面新三田,尼崎,神戸方面西明石,尼崎,神戸方面西明石,宝塚方面篠山口,宝塚,宝塚方面新三田,塚口,宝塚,宝塚方面新三田,宝塚方面新三田
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通,,,,,
,2,9,15,20,24,30,38,42,47,52,,,,,
,宝塚方面新三田,宝塚,塚口,宝塚方面新三田,神戸方面西明石,宝塚,神戸方面西明石,塚口,宝塚,神戸方面西明石,,,,,
,1,1,1,1,1,1,1,1,1,1,,,,,
10,快速,普通,快速,普通,区快,普通,区快,普通,区快,,,,,,
,0,7,13,22,28,37,43,52,58,,,,,,
,宝塚,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,
,1,1,1,1,1,1,1,1,1,,,,,,
11,普通,区快,普通,区快,普通,区快,普通,区快,,,,,,,
,7,13,22,28,37,43,52,58,,,,,,,
,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
12,普通,区快,普通,区快,普通,区快,普通,区快,,,,,,,
,7,13,22,28,37,43,52,58,,,,,,,
,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
13,普通,区快,普通,区快,普通,区快,普通,区快,,,,,,,
,7,13,22,28,37,43,52,58,,,,,,,
,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
14,普通,区快,普通,区快,普通,区快,普通,区快,,,,,,,
,7,13,22,28,37,43,52,58,,,,,,,
,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
15,普通,区快,普通,区快,普通,快速,普通,快速,,,,,,,
,7,13,22,28,37,44,52,59,,,,,,,
,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,神戸方面西明石,塚口,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
16,普通,快速,普通,快速,普通,快速,普通,快速,,,,,,,
,7,14,22,29,37,44,52,59,,,,,,,
,神戸方面西明石,宝塚,神戸方面西明石,宝塚,神戸方面西明石,宝塚,神戸方面西明石,宝塚方面新三田,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
17,普通,快速,普通,快速,普通,快速,普通,快速,,,,,,,
,7,14,22,29,37,44,52,59,,,,,,,
,神戸方面西明石,宝塚,神戸方面西明石,宝塚方面篠山口,神戸方面西明石,宝塚,神戸方面西明石,宝塚方面新三田,,,,,,,
,1,1,1,1,1,1,1,1,,,,,,,
18,普通,快速,普通,快速,普通,快速,普通,快速,,,,,,,
