平日ダイヤ 糸崎駅 下り時刻表,,,,
5,普通,普通,快速,
,5,37,59,
,広,広島,広島,
,3,3,3,
6,快速,普通,普通,快速
,6,17,39,52
,広島,広島,岩国,広島
,3,3,3,3
7,普通,普通,普通,普通
,8,18,30,45
,三原,五日市,三原,五日市
,3,3,4,3
8,普通,普通,普通,
,16,21,38,
,三原,広,大野浦,
,3,3,3,
9,普通,普通,,
,35,52,,
,三原,岩国,,
,4,3,,
10,普通,普通,普通,
,7,46,53,
,三原,三原,岩国,
,4,4,3,
11,普通,普通,普通,
,20,42,53,
,三原,三原,岩国,
,4,4,3,
12,普通,普通,,
,42,53,,
,三原,岩国,,
,4,3,,
13,普通,普通,普通,
,0,42,53,
,広,三原,岩国,
,3,4,3,
14,普通,普通,,
,26,54,,
,三原,岩国,,
,3,3,,
15,普通,普通,普通,普通
,0,29,37,59
,三原,三原,五日市,三原
,4,4,3,4
16,普通,普通,普通,
,8,23,43,
,五日市,三原,大野浦,
,3,4,3,
17,普通,普通,普通,普通
,14,22,30,54
,三原,広島,広島,岩国
,4,3,3,3
18,普通,普通,普通,
,15,32,38,
,三原,徳山,三原,
,4,3,4,
19,普通,普通,普通,
,6,12,39,
,岩国,三原,岩国,
,3,4,3,
20,普通,普通,普通,普通
,9,25,44,51
,岩国,三原,三原,広島
,3,4,3,3
21,普通,普通,普通,
,14,29,43,
,三原,岩国,三原,
,4,3,4,
22,普通,,,
,18,,,
,五日市,,,
,3,,,
23,普通,,,
,6,,,
,三原,,,
,3,,,
0,普通,,,
,4,,,
,三原,,,
,4,,,
