Aダイヤ 高知駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,
4,しまんと2号,,,,,,,,,,,,,,,,,,,,
,51,,,,,,,,,,,,,,,,,,,,
,高松,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,
5,普通,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,
,土佐山田,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,
6,南風,普通,普通,,,,,,,,,,,,,,,,,,
,00,03,27,,,,,,,,,,,,,,,,,,
,岡山,土佐山田,土佐山田,,,,,,,,,,,,,,,,,,
,1,2,3,,,,,,,,,,,,,,,,,,
7,しまんと・南風,普通(一部通過),普通,快速,,,,,,,,,,,,,,,,,
,00,02,32,46,,,,,,,,,,,,,,,,,
,高松･岡山,土佐山田,土佐山田,安芸,,,,,,,,,,,,,,,,,
,1,3,3,4,,,,,,,,,,,,,,,,,
8,南風,普通,快速,,,,,,,,,,,,,,,,,,
,01,10,30,,,,,,,,,,,,,,,,,,
,岡山,土佐山田,奈半利,,,,,,,,,,,,,,,,,,
,1,3,4,,,,,,,,,,,,,,,,,,
9,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,19,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,4,3,,,,,,,,,,,,,,,,,,
10,南風,しんたろう,普通,,,,,,,,,,,,,,,,,,
,13,15,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,4,3,,,,,,,,,,,,,,,,,,
11,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,15,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,4,3,,,,,,,,,,,,,,,,,,
12,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,15,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,阿波池田,,,,,,,,,,,,,,,,,,
,1,4,3,,,,,,,,,,,,,,,,,,
13,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,15,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,4,3,,,,,,,,,,,,,,,,,,
14,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,15,45,,,,,,,,,,,,,,,,,,
,岡山,奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,4,4,,,,,,,,,,,,,,,,,,
15,南風,快速,普通,,,,,,,,,,,,,,,,,,
,13,15,27,,,,,,,,,,,,,,,,,,
,岡山,奈半利,阿波池田,,,,,,,,,,,,,,,,,,
,1,4,1,,,,,,,,,,,,,,,,,,
16,南風,普通,普通,,,,,,,,,,,,,,,,,,
,13,15,42,,,,,,,,,,,,,,,,,,
,岡山,土佐山田/奈半利,土佐山田,,,,,,,,,,,,,,,,,,
,1,3,3,,,,,,,,,,,,,,,,,,
17,南風,普通,普通,普通,,,,,,,,,,,,,,,,,
,13,18,34,49,,,,,,,,,,,,,,,,,
,岡山,土佐山田,土佐山田,阿波池田,,,,,,,,,,,,,,,,,
,1,4,4,3,,,,,,,,,,,,,,,,,
18,普通,南風,普通,,,,,,,,,,,,,,,,,,
,16,36,52,,,,,,,,,,,,,,,,,,
,土佐山田,岡山,土佐山田,,,,,,,,,,,,,,,,,,
,3,1,4,,,,,,,,,,,,,,,,,,
19,普通,しまんと･南風,普通,普通,,,,,,,,,,,,,,,,,
,05,31,34,47,,,,,,,,,,,,,,,,,
,奈半利,高松･岡山,土佐山田,安芸,,,,,,,,,,,,,,,,,
,4,1,3,4,,,,,,,,,,,,,,,,,
20,普通,しまんと8号,普通,,,,,,,,,,,,,,,,,,
,14,34,37,,,,,,,,,,,,,,,,,,
,奈半利,高松,土佐山田,,,,,,,,,,,,,,,,,,
,4,1,3,,,,,,,,,,,,,,,,,,
21,普通,,,,,,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,,,
,奈半利,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,
22,普通,普通,,,,,,,,,,,,,,,,,,,
,01,36,,,,,,,,,,,,,,,,,,,
,土佐山田,安芸,,,,,,,,,,,,,,,,,,,
,3,4,,,,,,,,,,,,,,,,,,,
