Aダイヤ 豊橋駅 下り時刻表,,,,,,
5,普通,,,,,
,58,,,,,
,天竜峡,,,,,
,1,,,,,
6,普通,普通,,,,
,21,44,,,,
,本長篠,豊川,,,,
,2,2,,,,
7,普通,普通,普通,普通,普通,
,1,16,32,40,54,
,中部天竜,豊川,本長篠,豊川,新城,
,1,1,2,1,2,
8,普通,普通,普通,普通,,
,3,12,25,34,,
,豊川,天竜峡,豊川,長山,,
,1,2,2,1,,
9,普通,普通,普通,,,
,8,38,57,,,
,本長篠,豊川,豊川,,,
,2,1,1,,,
10,特急伊那路,普通,普通,普通,普通,
,8,12,27,42,57,
,飯田,新城,豊川,岡谷,豊川,
,4,2,1,2,1,
11,普通,普通,,,,
,27,42,,,,
,豊川,本長篠,,,,
,1,1,,,,
12,普通,普通,,,,
,9,38,,,,
,豊川,本長篠,,,,
,1,1,,,,
13,普通,普通,,,,
,9,38,,,,
,新城,天竜峡,,,,
,1,2,,,,
14,普通,普通,普通,,,
,9,38,57,,,
,新城,岡谷,豊川,,,
,1,2,1,,,
15,普通,普通,普通,普通,,
,12,27,42,57,,
,新城,豊川,本長篠,豊川,,
,2,1,1,1,,
16,普通,普通,普通,普通,,
,12,27,42,57,,
,新城,豊川,上諏訪,豊川,,
,1,1,2,1,,
17,普通,普通,普通,,,
,19,39,57,,,
,本長篠,新城,水窪,,,
,1,1,2,,,
18,普通,特急伊那路,普通,普通,普通,普通
,8,19,27,38,49,57
,豊川,飯田,新城,豊川,天竜峡,豊川
,2,1,2,1,2,1
19,普通,普通,普通,普通,,
,11,27,42,57,,
,新城,豊川,中部天竜,豊川,,
,2,1,2,2,,
20,普通,普通,普通,普通,,
,11,27,42,57,,
,新城,豊川,水窪,豊川,,
,1,2,1,1,,
21,普通,普通,普通,,,
,11,34,50,,,
,新城,豊川,中部天竜,,,
,2,1,1,,,
22,普通,普通,,,,
,10,30,,,,
,豊川,本長篠,,,,
,1,1,,,,
23,普通,普通,普通,,,
,0,24,44,,,
,新城,新城,豊川,,,
,1,1,4,,,
