Aダイヤ 豊橋駅 下り時刻表,,,
6,こだま763,,
,40,,
,新大阪,,
,11,,
7,こだま765,ひかり,
,23,49,
,新大阪,新大阪,
,11,11,
8,こだま767,こだま,
,2,39,
,新大阪,名古屋,
,11,11,
9,こだま,こだま,ひかり
,8,39,54
,新大阪,名古屋,新大阪
,11,11,11
10,こだま,こだま,
,8,39,
,新大阪,名古屋,
,11,11,
11,こだま,こだま,ひかり
,8,39,54
,新大阪,名古屋,新大阪
,11,11,11
12,こだま,こだま,
,8,39,
,新大阪,名古屋,
,11,11,
13,こだま,こだま,ひかり
,8,39,54
,新大阪,名古屋,新大阪
,11,11,11
14,こだま,こだま,
,8,39,
,新大阪,名古屋,
,11,11,
15,こだま,こだま,ひかり
,8,39,54
,新大阪,名古屋,新大阪
,11,11,11
16,こだま,こだま,
,8,39,
,新大阪,名古屋,
,11,11,
17,こだま,こだま,ひかり
,8,39,54
,新大阪,名古屋,新大阪
,11,11,11
18,こだま,こだま,
,8,39,
,新大阪,名古屋,
,11,11,
19,こだま,こだま,ひかり
,8,39,59
,名古屋,名古屋,新大阪
,11,11,11
20,こだま,こだま,
,8,39,
,名古屋,名古屋,
,11,11,
21,こだま,こだま,ひかり
,8,39,51
,名古屋,名古屋,新大阪
,11,11,11
22,こだま,こだま,ひかり
,9,41,45
,新大阪,名古屋,新大阪
,11,11,11
23,ひかり,ひかり,
,2,30,
,名古屋,名古屋,
,11,11,
