Aダイヤ 仙台駅 下り時刻表,,,,
6,普通,普通,普通,
,07,41,58,
,山形,愛子,愛子,
,7,7,8,
7,普通,普通,普通,
,14,30,46,
,山形,作並,愛子,
,7,8,7,
8,普通,普通,普通,普通
,02,18,36,52
,愛子,山形,愛子,愛子
,8,7,8,7
9,快速,普通,普通,
,12,29,59,
,山形,愛子,愛子,
,7,8,8,
10,普通,普通,,
,16,48,,
,山形,愛子,,
,7,8,,
11,快速,普通,普通,
,05,36,53,
,山形,愛子,山形,
,7,7,7,
12,普通,普通,快速,
,12,31,50,
,愛子,愛子,山形,
,7,8,7,
13,普通,普通,普通,
,06,26,44,
,愛子,愛子,山形,
,8,7,8,
14,普通,普通,普通,
,03,22,41,
,愛子,愛子,山形,
,7,8,7,
15,普通,普通,普通,
,13,30,45,
,愛子,愛子,山形,
,7,8,7,
16,普通,普通,普通,普通
,00,19,39,58
,愛子,愛子,山形,愛子
,8,8,8,8
17,普通,普通,普通,
,17,36,55,
,愛子,山形,愛子,
,8,7,8,
18,普通,普通,,
,25,41,,
,山形,愛子,,
,7,8,,
19,普通,普通,普通,
,00,18,38,
,山形,愛子,愛子,
,7,8,7,
20,普通,普通,普通,
,07,26,41,
,山形,愛子,愛子,
,8,7,8,
21,普通,普通,普通,
,18,34,49,
,山形,愛子,愛子,
,8,7,8,
22,普通,普通,,
,15,53,,
,山形,愛子,,
,7,8,,
23,普通,,,
,25,,,
,愛子,,,
,8,,,
0,普通,,,
,02,,,
,愛子,,,
,8,,,
