Aダイヤ 武蔵小杉駅 下り時刻表,,,,,,,,,,,,,,,,,,,,
5,各停,各停,急行,各停,急行,各停,,,,,,,,,,,,,,
,10,20,29,35,39,48,,,,,,,,,,,,,,
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,海老名,元町・中華街,,,,,,,,,,,,,,
,1,1,1,1,1,1,,,,,,,,,,,,,,
6,各停,各停,急行,各停,急行,各停,各停,各停,急行,各停,各停,急行,各停,,,,,,,
,02,04,06,14,18,23,31,38,41,45,52,55,59,,,,,,,
,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
7,各停,急行,各停,急行,各停,急行,各停,各停,急行,各停,各停,急行,各停,急行,各停,各停,通特,,,
,06,10,14,20,22,25,28,31,34,37,41,44,46,49,51,54,57,,,
,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
8,各停,急行,各停,急行,各停,通特,各停,急行,各停,通特,各停,急行,急行,各停,通特,各停,急行,通特,各停,急行
,01,04,06,09,11,13,16,21,23,27,31,33,36,38,41,44,48,50,52,59
,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,元町・中華街,湘南台,元町・中華街,元町・中華街,元町・中華街,元町・中華街,西谷,元町・中華街,元町・中華街,元町・中華街
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,各停,各停,通特,各停,急行,特急,各停,急行,各停,急行,各停,急行,特急,各停,急行,各停,急行,特急,各停,
