Aダイヤ 横浜駅 下り時刻表,,,,,,,,,,,,,,,
4,普通,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,
,久里浜,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,
5,普通,普通,,,,,,,,,,,,,
,26,55,,,,,,,,,,,,,
,久里浜,逗子,,,,,,,,,,,,,
,9,9,,,,,,,,,,,,,
6,普通,普通,普通,,,,,,,,,,,,
,16,33,46,,,,,,,,,,,,
,逗子,久里浜,久里浜,,,,,,,,,,,,
,9,9,9,,,,,,,,,,,,
7,普通,快速,普通,普通,普通,普通,普通,,,,,,,,
,4,10,17,28,43,49,57,,,,,,,,
,久里浜,平塚,久里浜,逗子,逗子,大船*,逗子,,,,,,,,
,9,9,9,9,9,9,9,,,,,,,,
8,普通,快速,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通
,6,10,13,17,20,23,28,31,36,39,44,47,51,54,58
,逗子,平塚,久里浜,大船,大船*,逗子,大船,小田原,逗子,大船*,逗子,国府津,大船,逗子*,逗子
,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,快速,普通,普通,普通,快速,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,快速,普通,普通,普通,
,1,5,7,10,14,18,21,24,27,32,37,46,51,54,
,平塚,大船,大船*,逗子,小田原,大船,逗子,大船,逗子*,逗子,国府津,久里浜,大船,大船*,
,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
10,普通,快速,普通,普通,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,普通,普通,普通,,,
,0,5,9,15,21,23,27,32,37,42,50,57,,,
,逗子,国府津,大船,逗子,大船,逗子*,大船,小田原,逗子,久里浜,逗子*,逗子,,,
,9,9,9,9,9,9,9,9,9,9,9,9,,,
11,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,快速,普通,,,,,,
,1,11,16,19,24,29,38,49,57,,,,,,
,平塚,逗子,大船,逗子*,逗子,小田原,久里浜,逗子*,逗子,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
12,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,快速,普通,,,,,,
,1,8,16,19,24,31,38,49,56,,,,,,
,平塚,逗子,大船,逗子*,逗子,小田原,久里浜,逗子*,逗子,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
13,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,快速,普通,,,,,,
,1,8,16,19,24,30,38,49,57,,,,,,
,平塚,逗子,大船,逗子*,逗子,小田原,久里浜,逗子*,逗子,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
14,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,快速,普通,,,,,,
,1,8,16,19,26,30,38,49,57,,,,,,
,平塚,逗子,大船,逗子*,逗子,小田原,久里浜,逗子*,逗子,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
15,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,快速,普通,,,,,,
,1,8,17,19,25,30,38,49,56,,,,,,
,国府津,逗子,大船,逗子*,横須賀,小田原,久里浜,逗子*,久里浜,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
16,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,普通,快速,普通,,,,,
,1,8,17,19,25,30,35,42,49,56,,,,,
,平塚,逗子,大船,逗子*,久里浜,小田原,逗子,横須賀,逗子*,久里浜,,,,,
,9,9,9,9,9,9,9,9,9,9,,,,,
17,快速,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,特別快速,普通,普通,快速,,,,,
,1,5,14,18,21,26,31,36,46,53,,,,,
,平塚,逗子,久里浜,大船,逗子*,久里浜,小田原,久里浜,久里浜,逗子*,,,,,
,9,9,9,9,9,9,9,9,9,9,,,,,
18,普通,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,快速,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,,,
,0,4,10,16,20,27,34,38,42,47,52,55,,,
,逗子,平塚,久里浜,大船,逗子*,久里浜,逗子,小田原,久里浜,横須賀,大船,逗子*,,,
,9,9,9,9,9,9,9,9,9,9,9,9,,,
19,普通,快速,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,快速,普通,普通,普通,,,
,0,5,12,16,19,24,28,35,39,45,55,58,,,
,久里浜,小田原,久里浜,久里浜,大船,大船*,逗子,久里浜,国府津,逗子,久里浜,大船*,,,
,9,9,9,9,9,9,9,9,9,9,9,9,,,
20,普通,普通,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,快速,普通,普通,普通,,,
,2,9,16,20,23,31,35,40,44,51,55,58,,,
,久里浜,逗子,平塚,久里浜,大船,久里浜,逗子*,逗子,平塚,久里浜,大船*,横須賀,,,
,9,9,9,9,9,9,9,9,9,9,9,9,,,
21,快速,普通,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,快速,普通,普通,普通,,,,,
,5,8,18,20,23,33,39,44,52,56,,,,,
,国府津,久里浜,大船*,逗子,大船,久里浜,小田原,久里浜,逗子*,久里浜,,,,,
,9,9,9,9,9,9,9,9,9,9,,,,,
22,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,快速,普通,普通,普通,,,,,,
,4,12,15,19,28,32,39,49,57,,,,,,
,大船,久里浜,大船,逗子*,久里浜,小田原,逗子,久里浜,大船*,,,,,,
,9,9,9,9,9,9,9,9,9,,,,,,
23,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,快速,普通,普通,,,,,,,,
,1,9,15,19,31,36,54,,,,,,,,
,久里浜,大船,小田原,久里浜,国府津,久里浜,大船,,,,,,,,
,9,9,9,9,9,9,9,,,,,,,,
0,普通,普通,,,,,,,,,,,,,
,8,23,,,,,,,,,,,,,
,逗子,大船,,,,,,,,,,,,,
,9,9,,,,,,,,,,,,,
