Aダイヤ 千葉駅 上り時刻表,,,,,,,,,,,,,,
4,始発快速,,,,,,,,,,,,,
,45,,,,,,,,,,,,,
,逗子,,,,,,,,,,,,,
,6,,,,,,,,,,,,,
5,始発快速,始発快速,快速,,,,,,,,,,,
,06,35,53,,,,,,,,,,,
,逗子,久里浜,久里浜,,,,,,,,,,,
,8,4,7,,,,,,,,,,,
6,快速,始発快速*,始発快速,始発快速,始発あずさ・富士回遊,快速,しおさい,始発快速,快速,快速,,,,
,14,21,26,32,38,40,45,47,51,57,,,,
,逗子,東京,東京,逗子,松本・河口湖,逗子,東京,東京,逗子,東京,,,,
,7,9,3,4,8,7,7,4,3,7,,,,
7,快速,しおさい,始発快速,快速,快速,しおさい,始発快速,快速,快速,快速,快速,快速,快速,快速
,01,07,10,14,17,20,23,27,31,36,43,46,51,56
,久里浜,東京,逗子,大船,逗子,東京,東京,逗子,東京,大船,大船,東京,逗子,東京
,5,7,4,7,4,7,9,7,3,7,7,3,3,6
8,快速,快速,成田エクスプレス,快速,始発快速,始発快速,快速,成田エクスプレス,始発快速,,,,,
,03,09,14,17,25,35,46,51,56,,,,,
,大船,東京,新宿/大船,逗子,久里浜,大船,大船,新宿,逗子,,,,,
,7,7,7,4,8,4,7,7,8,,,,,
9,しおさい,始発快速,始発快速,成田エクスプレス,快速*,始発快速,快速,快速*,,,,,,
,03,07,22,29,31,36,44,54,,,,,,
,東京,大船,逗子,新宿/大船,久里浜,東京,逗子,逗子,,,,,,
,7,9,10,7,3,5,6,10,,,,,,
10,始発快速,始発快速,成田エクスプレス,始発快速*,快速,快速,,,,,,,,
,03,12,19,26,41,52,,,,,,,,
,東京,逗子,新宿/大船,久里浜,逗子,逗子,,,,,,,,
,8,5,7,6,6,10,,,,,,,,
11,快速,始発快速,成田エクスプレス,始発快速,しおさい,快速,快速*,,,,,,,
,02,12,19,26,37,41,52,,,,,,,
,東京,逗子,新宿/大船,久里浜,東京,逗子,逗子,,,,,,,
,5,4,7,8,7,5,10,,,,,,,
12,快速*,始発快速,成田エクスプレス,始発快速,快速*,快速,,,,,,,,
,02,12,19,26,41,52,,,,,,,,
,東京,逗子,新宿/大船,久里浜,逗子,逗子,,,,,,,,
,3,8,7,6,6,10,,,,,,,,
13,始発快速,始発快速,成田エクスプレス,始発快速*,しおさい,快速,快速,,,,,,,
,02,12,20,26,38,41,52,,,,,,,
,東京,逗子,新宿/大船,久里浜,東京,逗子,逗子,,,,,,,
,8,4,7,6,7,5,10,,,,,,,
14,始発快速*,始発快速*,成田エクスプレス,始発快速*,快速,快速,,,,,,,,
,02,12,19,26,41,52,,,,,,,,
,東京,横須賀,新宿/大船,久里浜,久里浜,東京,,,,,,,,
,8,10,7,5,6,10,,,,,,,,
15,始発快速,始発快速,成田エクスプレス,始発快速*,快速,快速*,,,,,,,,
,02,12,20,26,41,52,,,,,,,,
,東京,逗子,新宿/大船,横須賀,久里浜,逗子,,,,,,,,
,8,9,7,8,6,10,,,,,,,,
16,始発快速*,始発快速,成田エクスプレス,始発快速,快速*,快速,,,,,,,,
,02,13,19,24,33,45,,,,,,,,
,久里浜,東京,新宿/大船,久里浜,久里浜,逗子,,,,,,,,
,8,8,7,8,6,7,,,,,,,,
17,始発快速,快速,始発快速,成田エクスプレス,快速,始発快速,快速,始発快速,,,,,,
,00,08,14,19,22,34,45,59,,,,,,
,品川,久里浜,東京,新宿/大船,逗子,横須賀,久里浜,久里浜,,,,,,
,3,3,5,7,4,9,7,5,,,,,,
18,始発快速,成田エクスプレス,快速,始発快速,快速,快速,始発快速,しおさい,,,,,,
,12,20,22,30,38,45,54,58,,,,,,
,大船,大船,東京,東京,久里浜,久里浜,逗子,東京,,,,,,
,5,7,3,5,5,7,9,7,,,,,,
19,始発快速,始発快速,快速,成田エクスプレス,快速,始発快速,快速,快速,始発快速,,,,,
,01,10,15,20,25,31,40,51,59,,,,,
,東京,久里浜,横須賀,新宿/大船,久里浜,東京,東京,東京,久里浜,,,,,
,5,3,3,7,9,5,4,9,5,,,,,
20,始発快速,快速,成田エクスプレス,快速,始発快速,快速,始発快速,快速*,,,,,,
,07,14,22,24,33,43,49,57,,,,,,
,久里浜,東京,新宿/大船,逗子,久里浜,久里浜,大船,久里浜,,,,,,
,7,4,7,10,4,3,7,7,,,,,,
21,始発快速,成田エクスプレス,快速,快速,始発快速,始発快速,快速,快速,,,,,,
,06,14,16,24,29,39,49,57,,,,,,
,東京,新宿/大船,久里浜,東京,逗子,久里浜,久里浜,東京,,,,,,
,4,7,3,7,10,7,4,9,,,,,,
22,始発快速*,快速,始発快速,始発快速,快速,,,,,,,,,
,05,22,33,43,55,,,,,,,,,
,久里浜,久里浜,東京,大船,逗子,,,,,,,,,
,7,3,6,3,7,,,,,,,,,
23,始発快速,始発快速,始発快速,快速,始発快速,,,,,,,,,
,03,11,27,50,56,,,,,,,,,
,東京,大船,東京,東京,津田沼,,,,,,,,,
,3,9,9,7,6,,,,,,,,,
0,始発快速,,,,,,,,,,,,,
,15,,,,,,,,,,,,,
,津田沼,,,,,,,,,,,,,
,10,,,,,,,,,,,,,
