Aダイヤ 熱海駅 下り時刻表,,,,,
4,普通 上野東京ﾗｲﾝ 15両,,,,
,35,,,,
,高崎,,,,
,4,,,,
5,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,特急ｻﾝﾗｲｽﾞ瀬戸出雲,,
,18,39,45,,
,宇都宮,宇都宮,東京,,
,4,4,5,,
6,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 10両
,4,16,30,49,57
,宇都宮,小金井,宇都宮,小金井,上野
,4,5,5,5,5
7,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両,,
,13,30,54,,
,上野,上野,小金井,,
,3,5,5,,
8,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,普通 東海道線 10両,,
,10,23,51,,
,宇都宮,高崎,小田原,,
,4,5,4,,
9,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,,
,9,26,39,,
,籠原,宇都宮,古河,,
,5,5,5,,
10,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,,
,1,18,37,,
,小金井,宇都宮,古河,,
,5,4,5,,
11,普通 上野東京ﾗｲﾝ 15両,特急踊り子4号,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,
,4,30,34,52,
,小金井,東京,高崎,高崎,
,4,4,5,5,
12,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 15両,,
,6,31,49,,
,宇都宮,高崎,高崎,,
,4,5,5,,
13,特急踊り子6号,普通 上野東京ﾗｲﾝ 15両,特急踊り子8号,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両
,1,10,32,35,48
,東京,小金井,東京,高崎,高崎
,4,5,4,5,5
14,普通 上野東京ﾗｲﾝ 15両,特急踊り子10号,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,
,9,30,33,50,
,小金井,東京,籠原,高崎,
,5,4,5,5,
15,普通 上野東京ﾗｲﾝ 15両,特急踊り子12号,普通 上野東京ﾗｲﾝ 15両,特急ｻﾌｨｰﾙ踊り子2号,普通 上野東京ﾗｲﾝ 15両
,0,8,26,31,49
,宇都宮,東京,宇都宮,東京,高崎
,5,4,5,4,5
16,特急踊り子14号,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,特急踊り子16号,普通 上野東京ﾗｲﾝ 15両
,0,6,21,29,46
,東京,小金井,古河,東京,高崎
,4,5,5,4,5
17,普通 上野東京ﾗｲﾝ 15両,特急踊り子18号,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,
,7,27,30,51,
,籠原,池袋,高崎,籠原,
,5,4,5,4,
18,特急ｻﾌｨｰﾙ踊り子4号,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 15両,
,0,11,40,55,
,東京,宇都宮,宇都宮,宇都宮,
,4,4,5,4,
19,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 15両,,
,9,26,42,,
,籠原,小金井,小金井,,
,4,5,5,,
20,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 10両,普通 上野東京ﾗｲﾝ 10両,
,3,18,35,56,
,宇都宮,籠原,小金井,宇都宮,
,4,4,4,5,
21,普通 上野東京ﾗｲﾝ 15両,普通 上野東京ﾗｲﾝ 15両,,,
,26,40,,,
,宇都宮,東京,,,
,5,4,,,
22,普通 東海道線 15両,普通 東海道線 10両,普通 東海道線 10両,,
,9,20,35,,
,東京,品川,品川,,
,5,3,4,,
23,普通 東海道線 15両,,,,
,7,,,,
,国府津,,,,
,4,,,,
