Aダイヤ 宇都宮駅 上り時刻表,,,,,
4,普通,,,,
,37,,,,
,熱海,,,,
,10,,,,
5,湘南新宿ﾗｲﾝ普通,普通,湘南新宿ﾗｲﾝ普通,普通,
,13,40,46,56,
,大船,熱海,大船,上野,
,10,10,8,10,
6,普通,湘南新宿ﾗｲﾝ普通,普通,,
,14,33,48,,
,小田原,大船,上野,,
,8,8,7,,
7,普通,普通,普通,普通,
,1,20,37,48,
,熱海,熱海,熱海,品川,
,7,7,8,10,
8,普通,普通,湘南新宿ﾗｲﾝ普通,普通,湘南新宿ﾗｲﾝ普通
,5,16,22,34,54
,熱海,上野,逗子,熱海,逗子
,7,10,8,7,7
9,普通,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,
,7,23,36,57,
,平塚,平塚,逗子,逗子,
,7,8,8,7,
10,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,21,35,55,,
,平塚,逗子,逗子,,
,8,7,10,,
11,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,16,35,55,,
,平塚,逗子,逗子,,
,8,8,7,,
12,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,17,35,55,,
,平塚,逗子,逗子,,
,10,8,10,,
13,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,18,32,48,,
,平塚,逗子,逗子,,
,10,7,8,,
14,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,16,35,50,,
,伊東,逗子,逗子,,
,7,8,7,,
15,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,,
,14,33,55,,
,上野,逗子,逗子,,
,7,8,7,,
16,普通,普通,湘南新宿ﾗｲﾝ快速,湘南新宿ﾗｲﾝ普通,
,10,21,37,55,
,国府津,上野,逗子,大船,
,8,10,7,10,
17,普通,普通,普通,,
,15,37,53,,
,熱海,上野,小田原,,
,7,8,7,,
18,湘南新宿ﾗｲﾝ普通,湘南新宿ﾗｲﾝ普通,快速ﾗﾋﾞｯﾄ,湘南新宿ﾗｲﾝ普通,
,2,25,38,50,
,逗子,大船,上野,大船,
,8,7,10,8,
19,普通,湘南新宿ﾗｲﾝ普通,快速ﾗﾋﾞｯﾄ,,
,12,29,42,,
,平塚,逗子,上野,,
,7,10,8,,
20,普通,湘南新宿ﾗｲﾝ普通,快速ﾗﾋﾞｯﾄ,普通,
,1,23,37,49,
,熱海,大船,上野,国府津,
,10,7,7,7,
21,普通,普通,普通,,
,15,36,49,,
,上野,上野,上野,,
,10,8,7,,
22,普通,普通,,,
,19,42,,,
,上野,大宮,,,
,10,10,,,
