Aダイヤ 小田原駅 下り時刻表,,,,,
5,普通,,,,
,52,,,,
,熱海,,,,
,3,,,,
6,普通,普通,,,
,22,44,,,
,熱海,沼津,,,
,3,3,,,
7,普通,普通,普通,,
,16,35,56,,
,沼津,熱海,熱海,,
,3,3,3,,
8,普通,普通,普通,,
,20,30,50,,
,熱海,熱海,熱海,,
,3,3,3,,
9,普通,普通,普通,,
,8,27,43,,
,熱海,熱海,熱海,,
,3,3,3,,
10,特急踊り子,普通,普通,普通,普通
,1,5,25,43,56
,伊豆急下田/修善寺,熱海,熱海,熱海,熱海
,3,3,3,3,3
11,特急踊り子,普通,普通,普通,
,1,17,27,48,
,伊豆急下田,熱海,熱海,熱海,
,3,3,3,3,
12,普通,普通,普通,,
,3,26,49,,
,熱海,熱海,熱海,,
,3,3,3,,
13,特急踊り子,普通,普通,普通,
,1,4,28,48,
,伊豆急下田/修善寺,熱海,熱海,熱海,
,3,3,3,3,
14,特急踊り子,普通,普通,普通,
,1,2,27,48,
,伊豆急下田,熱海,熱海,熱海,
,3,3,3,3,
15,普通,普通,普通,,
,0,26,43,,
,熱海,熱海,熱海,,
,3,3,3,,
16,普通,普通,普通,普通,
,1,29,44,59,
,熱海,伊東,熱海,沼津,
,3,3,3,3,
17,普通,普通,普通,,
,18,40,53,,
,熱海,伊東,沼津,,
,3,3,3,,
18,普通,普通,普通,,
,21,36,58,,
,熱海,熱海,伊東,,
,3,3,3,,
19,普通,普通,普通,,
,16,31,44,,
,沼津,熱海,熱海,,
,3,3,3,,
20,普通,普通,普通,普通,
,2,22,33,46,
,熱海,伊東,熱海,沼津,
,3,3,3,3,
21,普通,普通,,,
,1,29,,,
,熱海,沼津,,,
,3,3,,,
22,普通,普通,普通,普通,
,1,15,37,53,
,熱海,熱海,伊東,沼津,
,3,3,3,3,
23,普通,普通,,,
,29,55,,,
,熱海,沼津,,,
,3,3,,,
0,普通,,,,
,19,,,,
,熱海,,,,
,3,,,,
