Aダイヤ 東京駅 下り時刻表,,,,,,,,,,,,,,,,,,,
5,始発普通,始発普通,,,,,,,,,,,,,,,,,
,20,40,,,,,,,,,,,,,,,,,
,沼津,沼津,,,,,,,,,,,,,,,,,
,9,9,,,,,,,,,,,,,,,,,
6,始発普通,始発普通,普通,普通,普通,普通,普通,,,,,,,,,,,,
,05,15,23,30,35,45,53,,,,,,,,,,,,
,熱海,小田原,小田原,熱海,品川,平塚,小田原,,,,,,,,,,,,
,9,9,10,10,10,10,10,,,,,,,,,,,,
7,普通,普通,ときわ,普通,普通,普通,普通,普通,普通,快速,普通,普通,,,,,,,
,01,09,13,18,28,32,35,42,47,50,52,57,,,,,,,
,熱海,小田原,品川,国府津,熱海,品川,小田原,熱海,品川,品川,国府津,品川,,,,,,,
,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
8,普通,快速,普通,ときわ,普通,快速,普通,普通,普通,快速,普通,快速,普通,普通,ひたち,普通,普通,普通,普通
,00,06,08,11,13,17,19,22,25,28,30,33,37,39,43,45,49,52,57
,熱海,品川,平塚,品川,大船,品川,小田原,品川,熱海,品川,国府津,品川,熱海,品川,品川,品川,小田原,品川,品川
,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,始発踊り子,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,普通,普通,普通,,,,
,00,02,06,10,13,16,21,24,32,35,40,42,46,54,57,,,,
,伊豆急下田/修善寺,平塚,熱海,品川,品川,熱海,品川,平塚,熱海,品川,品川,小田原,品川,熱海,品川,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
10,始発踊り子,普通,特別快速,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,
,00,02,06,10,14,18,24,27,37,43,47,50,57,,,,,,
,伊豆急下田,熱海,品川,品川,品川,平塚,品川,熱海,熱海,品川,小田原,品川,平塚,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,
11,始発ｻﾌｨｰﾙ踊り子,特別快速,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,05,08,14,17,27,32,37,43,47,50,57,,,,,,,
,伊豆急下田,品川,熱海,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
12,始発踊り子,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,06,08,14,17,27,32,37,43,47,50,57,,,,,,,
,伊豆急下田/修善寺,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
13,始発踊り子,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,07,09,15,18,27,32,37,43,47,50,57,,,,,,,
,伊豆急下田,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
14,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,,
,07,09,15,17,27,30,37,43,47,50,56,,,,,,,,
,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,,
,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,
15,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,,
,07,09,15,18,27,30,37,43,47,50,57,,,,,,,,
,伊東,品川,品川,平塚,熱海,品川,国府津,品川,熱海,品川,小田原,,,,,,,,
,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,
16,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,,,,,,,,,
,06,09,15,18,27,30,37,44,47,57,,,,,,,,,
,平塚,品川,品川,伊東,熱海,品川,小田原,品川,小田原,熱海,,,,,,,,,
,10,10,10,10,10,10,10,10,10,10,,,,,,,,,
17,普通,普通,快速,ときわ,普通,普通,普通,始発湘南,普通,快速,普通,ひたち,普通,普通,普通,,,,
,01,07,10,14,17,24,27,30,32,35,40,44,48,55,58,,,,
,品川,平塚,品川,品川,熱海,小田原,品川,平塚,伊東,品川,小田原,品川,熱海,国府津,品川,,,,
,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,,,,
18,始発湘南,普通,普通,普通,ときわ,普通,普通,普通,始発湘南,普通,普通,普通,ひたち,普通,普通,,,,
,00,03,08,11,15,17,21,26,30,32,35,40,45,48,55,,,,
,小田原,小田原,国府津,熱海,品川,平塚,小田原,小田原,平塚,熱海,品川,平塚,品川,伊東,小田原,,,,
,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,,,,
19,始発湘南,普通,普通,普通,ときわ,普通,快速,普通,始発湘南,普通,普通,普通,ひたち,普通,快速,普通,快速,,
,00,02,05,09,13,16,19,24,30,33,36,40,44,46,49,53,57,,
,小田原,国府津,品川,熱海,品川,沼津,品川,熱海,小田原,小田原,品川,小田原,品川,小田原,品川,小田原,品川,,
,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,,
20,始発湘南,普通,普通,普通,ときわ,普通,快速,始発湘南,普通,普通,普通,ひたち,普通,普通,,,,,
,00,02,08,12,16,22,27,30,32,35,42,44,53,56,,,,,
,小田原,沼津,品川,小田原,品川,熱海,品川,小田原,小田原,品川,熱海,品川,平塚,品川,,,,,
,9,10,10,10,10,10,10,9,10,10,10,10,10,10,,,,,
21,始発湘南,普通,快速,普通,ときわ,快速,普通,普通,普通,普通,ひたち,始発ｻﾝﾗｲｽﾞ出雲・瀬戸,普通,,,,,,
,00,02,07,12,14,22,24,32,35,42,46,50,52,,,,,,
,小田原,伊東,品川,平塚,品川,品川,沼津,小田原,品川,国府津,品川,出雲市・高松,熱海,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,9,10,,,,,,
22,始発湘南,普通,快速,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,,
,00,02,06,12,14,18,25,32,37,42,45,52,,,,,,,
,小田原,国府津,品川,平塚,品川,品川,沼津,小田原,品川,国府津,品川,熱海,,,,,,,
,9,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
23,普通,始発普通,ときわ,始発普通,始発普通,始発普通,始発普通,始発普通,,,,,,,,,,,
,02,12,15,22,33,39,47,54,,,,,,,,,,,
,平塚,小田原,品川,国府津,国府津,小田原,国府津,平塚,,,,,,,,,,,
,10,9,10,9,9,9,9,9,,,,,,,,,,,
