Aダイヤ 伊勢中川駅 上り時刻表,,,,,,,,
5,普通,急行,普通,,,,,
,24,53,58,,,,,
,名張,名張,東青山,,,,,
,4,5,3,,,,,
6,特急,急行,普通,特急,急行,普通,特急,急行
,06,09,23,29,39,45,57,58
,上本町,名張,名張,上本町,名張,東青山,京都,上本町
,4,4,2,4,5,3,5,4
7,特急,急行,普通,特急,普通,,,
,11,15,33,54,59,,,
,上本町,上本町,名張,上本町,東青山,,,
,4,3,6,4,6,,,
8,急行,特急,普通,特急,普通,,,
,08,19,24,32,56,,,
,名張,上本町,名張,京都,東青山,,,
,4,4,3,5,6,,,
9,急行,特急,急行,普通,特急,,,
,02,11,33,35,42,,,
,名張,大阪難波,名張,東青山,京都,,,
,4,4,4,6,5,,,
10,普通,特急,普通,急行,,,,
,04,10,42,48,,,,
,名張,大阪難波,東青山,名張,,,,
,6,4,6,4,,,,
11,特急,普通,急行,,,,,
,10,42,48,,,,,
,大阪難波,東青山,名張,,,,,
,4,6,4,,,,,
12,特急,普通,急行,,,,,
,10,44,48,,,,,
,大阪難波,東青山,名張,,,,,
,4,3,4,,,,,
13,特急,普通,急行,,,,,
,10,42,48,,,,,
,大阪難波,東青山,名張,,,,,
,4,6,4,,,,,
14,特急,普通,急行,特急,,,,
,10,42,48,55,,,,
,大阪難波,東青山,名張,大阪難波,,,,
,4,6,4,4,,,,
15,特急,特急,普通,急行,特急,,,
,10,31,36,42,56,,,
,大阪難波,京都,東青山,名張,上本町,,,
,4,5,6,4,4,,,
16,普通,特急,特急,普通,急行,特急,,
,03,11,31,35,41,54,,
,名張,大阪難波,京都,東青山,上本町,上本町,,
,6,4,4,6,4,4,,
17,普通,特急,急行,普通,急行,特急,普通,
,04,11,21,31,42,55,56,
,名張,大阪難波,名張,東青山,名張,上本町,青山町,
,6,4,5,6,4,4,6,
18,特急,急行,普通,,,,,
,10,27,44,,,,,
,大阪難波,名張,青山町,,,,,
,4,4,6,,,,,
19,急行,特急,普通,特急,普通,,,
,05,08,14,55,57,,,
,名張,大阪難波,名張,上本町,青山町,,,
,4,4,6,4,5,,,
20,急行,普通,特急,普通,,,,
,11,31,55,59,,,,
,名張,名張,大阪難波,名張,,,,
,4,6,4,6,,,,
21,急行,普通,特急,,,,,
,15,40,47,,,,,
,名張,名張,上本町,,,,,
,2,6,4,,,,,
22,急行,普通,,,,,,
,05,21,,,,,,
,名張,名張,,,,,,
,3,6,,,,,,
23,普通,,,,,,,
,13,,,,,,,
,名張,,,,,,,
,3,,,,,,,
